Timestamp,Candidate_name,Political_party,Age,Date_of_birth,Gender,Current_occupation,Number_of_terms_as_an_MP,Current_constituency,Newcomer,Candidates_facebook_page_link,Secondary_school,Secondary_school_2,Bachelor,Master,Doctor
29/11/2019 15:00:00,Lawrence Wong,PAP,47,18/12/1972,Male,MP,2,Marsiling-Yew Tee GRC,"No, he/ she is an MP.",https://www.facebook.com/LawrenceWongST/,Tanjong Katong Secondary School,Victoria Junior College,University of Wisconsin,University of Michigan,
29/11/2019 15:00:00,Lee Bee Wah,PAP,59,06/10/1960,Female,MP,3,Nee Soon GRC,"No, he/ she is an MP.",https://www.facebook.com/leebeewahpage/,"Sekolah Dato' Dol Said, Notre Dame Convent, and Gajah Berang",-,Nanyang Technological University,University of Liverpool ,
29/11/2019 15:00:00,Lee Hsien Loong,PAP,67,10/02/1952,Male,MP,8,Ang Mo Kio GRC,"No, he/ she is an MP.",https://www.facebook.com/leehsienloong/,Catholic High School,National Junior College,University of Cambridge,Harvard University,
29/11/2019 15:00:00,Lee Yi Shyan,PAP,57,09/03/1962,Male,MP,3,East Coast GRC,"No, he/ she is an MP.",https://www.facebook.com/LeeYiShyanPage/Â,Maris Stella High School,Hwa Chong Junior College,National University of Singapore,,
29/11/2019 15:00:00,Leon Perera,WP,49,29/09/1970,Male,MP,1,NCMP,"No, he/ she is an MP.",https://www.facebook.com/leonperera70/,Anglo-Chinese School,Hwa Chong Junior College,University of Oxford,,
29/11/2019 15:00:00,Liang Eng Hwa,PAP,55,20/03/1964,Male,MP,3,Holland-Bukit Timah GRC,"No, he/ she is an MP.",https://www.facebook.com/liangenghwa,Anderson Secondary School,-,University of Melbourne,,
29/11/2019 15:00:00,Lily Neo,PAP,66,12/08/1953,Female,MP,5,Jalan Besar GRC,"No, he/ she is an MP.",https://www.facebook.com/DrLilyNeo/,Methodist High School,-,Royal College of Surgeons,,
29/11/2019 15:00:00,Lim Biow Chuan,PAP,56,22/05/1963,Male,MP,3,Mountbatten SMC,"No, he/ she is an MP.",https://www.facebook.com/limbiowchuan/,Victoria School,Temasek Junior College,National University of Singapore,,
29/11/2019 15:00:00,Lim Hng Kiang,PAP,65,09/04/1954,Male,MP,6,West Coast GRC,"No, he/ she is an MP.",https://www.facebook.com/limhngkiang/,Raffles Institution,-,University of Cambridge,Harvard University,
29/11/2019 15:00:00,Lim Swee Say,PAP,65,13/07/1954,Male,MP,5,East Coast GRC,"No, he/ she is an MP.",https://www.facebook.com/sweesaylim/,Catholic High School,National Junior College,Loughborough University,Stanford University,
29/11/2019 15:00:00,Lim Wee Kiak,PAP,51,27/12/1968,Male,MP,3,Sembawang GRC,"No, he/ she is an MP.",https://www.facebook.com/drlimweekiak/,-,-,National University of Singapore,National University of Singapore,
29/11/2019 15:00:00,Louis Ng Kok Kwang,PAP,41,08/12/1978,Male,MP,1,Nee Soon GRC,"No, he/ she is an MP.",https://www.facebook.com/LouisNgKokKwang/,St. Gabriel's Secondary School,Catholic Junior College,National University of Singapore,Oxford Brookes University ,
29/11/2019 15:00:00,Low Thia Khiang,WP,63,05/09/1956,Male,MP,6,Aljunied GRC,"No, he/ she is an MP.",https://www.facebook.com/lowthiakhiang/,Chung Cheng High School,-,National University of Singapore,,
29/11/2019 15:00:00,Low Yen Ling,PAP,45,17/08/1974,Female,MP,2,Chua Chu Kang GRC,"No, he/ she is an MP.",https://www.facebook.com/yllow/,Dunman High School,Temasek Junior College,Nanyang Technological University,,
29/11/2019 15:00:00,Masagos Zulkifli Bin Masagos Mohamad,PAP,56,16/04/1963,Male,MP,3,Tampines GRC,"No, he/ she is an MP.",https://www.facebook.com/masagos/,Bukit Panjang Government High School,National Junior College,Nanyang Technological University,National University of Singapore,
29/11/2019 15:00:00,Melvin Yong Yik Chye,PAP,47,19/02/1972,Male,MP,1,Tanjong Pagar GRC,"No, he/ she is an MP.",https://www.facebook.com/melvinyong.sg/,Chinese High School,National Junior College,Nanyang Technological University,University of Leicester ,
29/11/2019 15:00:00,Mohamad Maliki Bin Osman,PAP,54,19/07/1965,Male,MP,4,East Coast GRC,"No, he/ she is an MP.",https://www.facebook.com/MalikiOsman/,Dunearn Secondary Technical School and First Toa Payoh Secondary School,-,National University of Singapore,,University of Illinois Urbana-Champaign
29/11/2019 15:00:00,Muhamad Faisal Bin Abdul Manap,WP,44,06/06/1975,Male,MP,2,Aljunied GRC,"No, he/ she is an MP.",https://www.facebook.com/faisalmanap/,Telok Kurau Secondary School,Singapore Polytechnic,Monash University,,
29/11/2019 15:00:00,Muhammad Faishal Ibrahim,PAP,51,16/06/1968,Male,MP,3,Nee Soon GRC,"No, he/ she is an MP.",https://www.facebook.com/muhammad.faishal.ibrahim1/,Bedok View Secondary School,Nanyang Junior College,National University of Singapore,National University of Singapore,University of Manchester
29/11/2019 15:00:00,Murali Pillai,PAP,52,30/10/1967,Male,MP,1,Bukit Batok SMC,"No, he/ she is an MP.",https://www.facebook.com/MuraliPillaiSG/,Monk's Hill Secondary School,Hwa Chong Junior College,National University of Singapore,"University of California, Los Angeles",
29/11/2019 15:00:00,Ng Chee Meng,PAP,51,08/08/1968,Male,MP,1,Pasir Ris-Punggol GRC,"No, he/ she is an MP.",https://www.facebook.com/NgCheeMengforSG/,Chinese High School,Hwa Chong Junior College,United States Air Force Academy,Tufts University,
29/11/2019 15:00:00,Ng Eng Hen,PAP,61,10/12/1958,Male,MP,4,Bishan-Toa Payoh GRC,"No, he/ she is an MP.",https://www.facebook.com/ngenghen/,Anglo-Chinese School,National Junior College,National University of Singapore,,
29/11/2019 15:00:00,Ong Teng Koon,PAP,42,13/01/1977,Male,MP,2,Marsiling-Yew Tee GRC,"No, he/ she is an MP.",https://www.facebook.com/ongtengkoon/,-,-,London School of Economics,Princeton University ,
29/11/2019 15:00:00,Ong Ye Kung,PAP,50,15/11/1969,Male,MP,1,Sembawang GRC,"No, he/ she is an MP.",https://www.facebook.com/ongyekung/,Maris Stella High School,Raffles Junior College,London School of Economics,International Institute for Management Development,
29/11/2019 15:00:00,Patrick Tay Teck Guan,PAP,48,01/12/1971,Male,MP,2,West Coast GRC,"No, he/ she is an MP.",https://www.facebook.com/PatrickTayTG/,St. Patrick's School,Temasek Junior College,National University of Singapore,National University of Singapore,
29/11/2019 15:00:00,Png Eng Huat,WP,58,09/12/1961,Male,MP,2,Hougang SMC,"No, he/ she is an MP.",https://www.facebook.com/PNGENGHUAT/,-,-,University of Texas,,
29/11/2019 15:00:00,Pritam Singh,WP,43,02/08/1976,Male,MP,2,Aljunied GRC,"No, he/ she is an MP.",https://www.facebook.com/pritam.eunos/,Thomas Secondary School,Jurong Junior College,National University of Singapore,King's College London,
29/11/2019 15:00:00,Rahayu Binte Mahzam,PAP,39,21/07/1980,Female,MP,1,Jurong GRC,"No, he/ she is an MP.",https://www.facebook.com/RahayuMahzamSG/,Raffles Girls' School,Raffles Junior College,National University of Singapore,,
29/11/2019 15:00:00,S Iswaran,PAP,57,14/06/1962,Male,MP,5,West Coast GRC,"No, he/ she is an MP.",https://www.facebook.com/SIswaran/,-,-,University of Adelaide,Harvard University,
29/11/2019 15:00:00,Saktiandi Bin Supaat,PAP,46,28/10/1973,Male,MP,1,Bishan-Toa Payoh GRC,"No, he/ she is an MP.",https://www.facebook.com/saktiandi.page1/,Raffles Institution,Catholic Junior College,Murdoch University,University of Melbourne,
29/11/2019 15:00:00,Sam Tan Chin Siong,PAP,61,13/10/1958,Male,MP,3,Radin Mas SMC,"No, he/ she is an MP.",https://www.facebook.com/tanchinsiong.sam/,Tuan Mong High School,Hwa Chong Junior College,National University of Singapore,,
29/11/2019 15:00:00,Seah Kian Peng,PAP,58,05/12/1961,Male,MP,3,Marine Parade GRC,"No, he/ she is an MP.",https://www.facebook.com/SeahKianPeng/,Raffles Institution,Raffles Institution,University of New South Wales,,
29/11/2019 15:00:00,Sim Ann,PAP,44,12/03/1975,Female,MP,2,Holland-Bukit Timah GRC,"No, he/ she is an MP.",https://www.facebook.com/SimAnn.SG/,Raffles Girls' School,Hwa Chong Junior College,University of Oxford,Stanford University,
29/11/2019 15:00:00,Sitoh Yih Pin,PAP,56,02/12/1963,Male,MP,2,Potong Pasir SMC,"No, he/ she is an MP.",https://www.facebook.com/Sitoh-Yih-Pin-166835826687535/,-,-,National University of Singapore,,
29/11/2019 15:00:00,Sun Xueling,PAP,40,10/07/1979,Female,MP,1,Pasir Ris-Punggol GRC,"No, he/ she is an MP.",https://www.facebook.com/helloxueling/,-,-,National University of Singapore,London School of Economics,
29/11/2019 15:00:00,Sylvia Lim Swee Lian,WP,54,28/03/1965,Female,MP,2,Aljunied GRC,"No, he/ she is an MP.",https://www.facebook.com/sylvialim65/,CHIJ St. Joseph's Convent,National Junior College,National University of Singapore,University of London,
29/11/2019 15:00:00,Tan Chuan-Jin,PAP,50,10/01/1969,Male,MP,2,Marine Parade GRC,"No, he/ she is an MP.",https://www.facebook.com/TanChuanJin1/,Anglo-Chinese School,Raffles Junior College,London School of Economics,King's College London,
29/11/2019 15:00:00,Tan Wu Meng,PAP,44,20/05/1975,Male,MP,1,Jurong GRC,"No, he/ she is an MP.",https://www.facebook.com/tanwumeng/,Raffles Institution,Hwa Chong Junior College,University of Cambridge,National University of Singapore,University of Cambridge
29/11/2019 15:00:00,Teo Chee Hean,PAP,65,27/12/1954,Male,MP,6,Pasir Ris-Punggol GRC,"No, he/ she is an MP.",https://www.facebook.com/MrTeoCheeHean/,St. Joseph's Institution,-,University of Manchester,Imperial College London,
29/11/2019 15:00:00,Teo Ho Pin,PAP,59,19/01/1960,Male,MP,5,Bukit Panjang SMC,"No, he/ she is an MP.",https://www.facebook.com/TeoHoPin/,New Town Secondary School,National Junior College,National University of Singapore,Heriot-Watt University,Heriot-Watt University
29/11/2019 15:00:00,Teo Ser Luck,PAP,51,08/06/1968,Male,MP,3,Pasir Ris-Punggol GRC,"No, he/ she is an MP.",https://www.facebook.com/teoserluck/,"Rosyth School, Victoria School",Nanyang Junior College,Nanyang Technological University,,
29/11/2019 15:00:00,Tharman Shanmugaratnam,PAP,62,25/02/1957,Male,MP,4,Jurong GRC,"No, he/ she is an MP.",https://www.facebook.com/TharmanShanmugaratnam/,Anglo-Chinese School,-,London School of Economics,Harvard University,
29/11/2019 15:00:00,Tin Pei Ling,PAP,36,23/12/1983,Female,MP,2,MacPherson SMC,"No, he/ she is an MP.",https://www.facebook.com/tinpeiling.official/,Crescent Girls' School,Hwa Chong Junior College,National University of Singapore,,
29/11/2019 15:00:00,Vikram Nair,PAP,41,18/07/1978,Male,MP,2,Sembawang GRC,"No, he/ she is an MP.",https://www.facebook.com/vikram.nair/,Anglo-Chinese School,Raffles Junior College,University of Cambridge,,
29/11/2019 15:00:00,Vivian Balakrishnan,PAP,58,25/01/1961,Male,MP,4,Holland-Bukit Timah GRC,"No, he/ she is an MP.",https://www.facebook.com/Vivian.Balakrishnan.Sg/,Anglo-Chinese School,National Junior College,National University of Singapore,,
29/11/2019 15:00:00,Yaacob Ibrahim,PAP,64,03/10/1955,Male,MP,5,Jalan Besar GRC,"No, he/ she is an MP.",https://www.facebook.com/yaacobibrahim/,-,Tanjong Katong Technical Secondary School,National University of Singapore,,Stanford University
29/11/2019 15:00:00,Yee Chia Hsing,PAP,48,24/06/1971,Male,MP,1,Chua Chu Kang GRC,"No, he/ she is an MP.",https://www.facebook.com/YeeChiaHsing/,Raffles Institution,Raffles Junior College,Nanyang Technological University,,
29/11/2019 15:00:00,Zainal Bin Sapari,PAP,54,30/11/1965,Male,MP,2,Pasir Ris-Punggol GRC,"No, he/ she is an MP.",https://www.facebook.com/ZainalBinSapari/,St. Andrew's Secondary School,Temasek Junior College,National University of Singapore,Nanyang Technological University,
29/11/2019 15:00:00,Zaqy Mohamad,PAP,45,15/09/1974,Male,MP,3,Chua Chu Kang GRC,"No, he/ she is an MP.",https://www.facebook.com/zaqym/,-,-,Nanyang Technological University,Carnegie Mellon University,
